event,bout,bout_key,foul_idx,foul_committed_by,context,foul_type_guess,foul_resulted_in_deduction,referee_paused,round_mentioned,predicted_foul_type,fouler_model
UFC-covington-buckley-14-12-2024,Manel Kape (125) vs. Bruno Silva (126),kape vs silva,1,Bruno Silva,A low blow hits Kape.,A low blow,FALSE,TRUE,Round 1,groin strike,Silva
UFC-covington-buckley-14-12-2024,Manel Kape (125) vs. Bruno Silva (126),kape vs silva,2,Bruno Silva,Kape gets kicked in the groin again.,kicked in the groin,FALSE,FALSE,Round 1,groin strike,Silva
UFC-covington-buckley-14-12-2024,Manel Kape (125) vs. Bruno Silva (126),kape vs silva,3,Bruno Silva,Yet another low blow as Kape goes down.,low blow,TRUE,TRUE,Round 2,groin strike,Silva
UFCvegas-105-emmett-murphy-05-04-2025,Chang Ho Lee (136) vs. Cortavious Romious (139.5: Missed Weight),lee vs romious,1,Chang Ho Lee,"Lee jumps at him, and his knee loudly bangs into the cup.",knee loudly bangs into the cup,FALSE,TRUE,Round 2,groin strike,Lee
UFCvegas-105-emmett-murphy-05-04-2025,Chang Ho Lee (136) vs. Cortavious Romious (139.5: Missed Weight),lee vs romious,2,Cortavious Romious,"Romious pulls his toes in the chain links to reposition himself, prompting Tognoni to tell him that he can't do that.",pulls his toes in the chain links,FALSE,FALSE,Round 2,fence grab,Romious
UFCvegas-105-emmett-murphy-05-04-2025,Josh Emmett (146) vs. Lerone Murphy (145.5),emmett vs murphy,1,Josh Emmett,"Murphy's low kicks irritate Emmett, and he pushes off and jams his fingers into Murphy's eye sockets.",eye poke,FALSE,TRUE,Round 3,eye poke,Emmett
UFCvegas-105-emmett-murphy-05-04-2025,Josh Emmett (146) vs. Lerone Murphy (145.5),emmett vs murphy,2,Lerone Murphy,"The Californian clasps his hands together and looks to lift Murphy off the ground, and Murphy elbows him on the crown of the headâan illegal strike, to be clearâand it starts bleeding instantly.",elbows him on the crown of the head,FALSE,FALSE,Round 4,back of head strike,Murphy
UFCvegas-105-emmett-murphy-05-04-2025,Loma Lookboonmee (115) vs. Istela Nunes (115),lookboonmee vs nunes,1,Loma Lookboonmee,"Lookboonmee is warning for striking the back of the head, and she pushes the Brazilian off of her.",back of the head,FALSE,FALSE,Round 1,back of head strike,Lookboonmee
UFCvegas-105-emmett-murphy-05-04-2025,Loma Lookboonmee (115) vs. Istela Nunes (115),lookboonmee vs nunes,2,Loma Lookboonmee,"Lookboonmee pushes off, and her finger may or may not have scraped the eye.",eye poke,FALSE,FALSE,Round 1,eye poke,Lookboonmee
UFCvegas-105-emmett-murphy-05-04-2025,Loma Lookboonmee (115) vs. Istela Nunes (115),lookboonmee vs nunes,3,Istela Nunes,"Nunes grabs the cage wall several times, and Tognoni reaches around repeatedly to slap Nunes' hand.",grabs the cage,FALSE,FALSE,Round 2,fence grab,Nunes
UFCvegas-105-emmett-murphy-05-04-2025,Loma Lookboonmee (115) vs. Istela Nunes (115),lookboonmee vs nunes,4,Istela Nunes,"Nunes hooks her toes in the fence to try to improve her position, and Tognoni slaps her toes.",hooks her toes in the fence,FALSE,FALSE,Round 3,fence grab,Nunes
UFCvegas-105-emmett-murphy-05-04-2025,Talita Alencar (115) vs. Vanessa Demopoulos (116),alencar vs demopoulos,1,Talita Alencar,"Alencar uses her left arm to pressure behind Demopoulos's neck, and she is warned for grabbing the fence when imposing her weight on her opponent.",grabbing the fence,FALSE,FALSE,Round 1,fence grab,Alencar
UFCvegas-105-emmett-murphy-05-04-2025,Talita Alencar (115) vs. Vanessa Demopoulos (116),alencar vs demopoulos,2,Talita Alencar,"Demopoulos sells out for a leglock in hopes of reversing the position, and Alencar gets out of it by repeatedly grabbing the fence.",grabbing the fence,FALSE,FALSE,Round 2,fence grab,Alencar
UFCvegas-105-emmett-murphy-05-04-2025,Talita Alencar (115) vs. Vanessa Demopoulos (116),alencar vs demopoulos,3,Vanessa Demopoulos,"Demopoulos uses her toes to try to pull her out of danger, which too is a foul.","uses her toes to try to pull her out of danger, which too is a foul",FALSE,FALSE,Round 1,fence grab,Demopoulos
UFCvegas-105-emmett-murphy-05-04-2025,Talita Alencar (115) vs. Vanessa Demopoulos (116),alencar vs demopoulos,4,Talita Alencar,"Rules mean nothing with no consequences, and multiple fence grabs keeping her out of a submission go generally uncalled other than a ""knock it off"" from Tognoni.",fence grab,FALSE,FALSE,Round 2,fence grab,Alencar
UFCvegas-105-emmett-murphy-05-04-2025,Torrez Finney (186) vs. Robert Valentin (185.5),finney vs valentin,1,Robert Valentin,"Valentin returns to his knees, grabbing the fence clearly to stand up and getting shouted at.",grabbing the fence,FALSE,FALSE,Round 2,fence grab,Valentin
UFCvegas-105-emmett-murphy-05-04-2025,Torrez Finney (186) vs. Robert Valentin (185.5),finney vs valentin,2,Robert Valentin,"Valentin throws his legs up in pursuit of a triangle choke, and Finney stacks him up and pushes out thanks in part to Valentin grabbing the cage with his toes.",grabbing the cage,FALSE,FALSE,Round 2,fence grab,Valentin
UFC-imavov-borralho-06-09-2025,Benoit St. Denis (155) vs. Mauricio Ruffy (156),denis vs ruffy,1,Benoit St. Denis,"Denis lands a knee to the groin, or so Ruffy claims to Dean repeatedly.",lands a knee to the groin,FALSE,TRUE,Round 1,groin strike,Denis
UFC-imavov-borralho-06-09-2025,Nassourdine Imavov (185) vs. Caio Borralho (185),imavov vs borralho,1,Nassourdine Imavov,"Borralho slips and rings Imavov's bell with a right hand, and the French fighter responds by jabbing Borralho in the eye with his fingers while another goes in Borralho's nostril.",jabbing Borralho in the eye,FALSE,TRUE,Round 5,eye poke,Imavov
UFC-imavov-borralho-06-09-2025,Nassourdine Imavov (185) vs. Caio Borralho (185),imavov vs borralho,2,Nassourdine Imavov,"During a kick exchange, Borralho takes one to the groin and walks it off.",takes one to the groin,FALSE,FALSE,Round 4,groin strike,Imavov
UFC-imavov-borralho-06-09-2025,Nassourdine Imavov (185) vs. Caio Borralho (185),imavov vs borralho,3,Nassourdine Imavov,Imavov pushes off and his finder slides into the eye socket and scrapes the other as Borralho turns his head.,slides into the eye,FALSE,TRUE,Round 3,eye poke,Imavov
UFC-imavov-borralho-06-09-2025,Nassourdine Imavov (185) vs. Caio Borralho (185),imavov vs borralho,4,Caio Borralho,"They come together, and in a clinch, Borralho knees his opponent in the groin.",knees his opponent in the groin,FALSE,FALSE,Round 3,groin strike,Borralho
UFC-imavov-borralho-06-09-2025,Robert Bryczek (186) vs. Brad Tavares (186),bryczek vs tavares,1,Robert Bryczek,"With Bryczek hammering away with hammerfists as some land directly on the back of the head, Bosacki steps in, and Tavares immediately protests the stoppage.His team is equally upset about what they feel was premature referee intervention, but as the referee is the sole arbiter of the bout, that's a wrap.",hammerfists as some land directly on the back of the head,FALSE,FALSE,Round 3,back of head strike,Bryczek
UFC-imavov-borralho-06-09-2025,William Gomis (145) vs. Robert Ruchala (146),gomis vs ruchala,1,William Gomis,"Gomis returns fire, and he punches and opens his fist to extend his fingers in what looks like a blatantly intentional eye poke.",eye poke,FALSE,TRUE,Round 3,eye poke,Gomis
UFC321-aspinall-gane-25-10-2025,Azat Maksum (129: Missed Weight) vs. Mitch Raposo (125.5),maksum vs raposo,1,Azat Maksum,"Raposo pushes Maksum to the ground, and Maksum blatantly grabs the fence to reverse his position and stop a takedown from materializing.",grabs the fence,FALSE,FALSE,Round 3,fence grab,Maksum
UFC321-aspinall-gane-25-10-2025,Hamdy Abdelwahab (265) vs. Chris Barnett (261),abdelwahab vs barnett,1,Chris Barnett,"Abdelwahab's right hands are growing softer but they are still adding up, with Goddard watching on but not calling for anything other than for Abdelwahab to be careful and for Barnett to not grab the chain links.",grab the chain links,FALSE,FALSE,Round 2,fence grab,Barnett
UFC321-aspinall-gane-25-10-2025,Hamdy Abdelwahab (265) vs. Chris Barnett (261),abdelwahab vs barnett,2,Hamdy Abdelwahab,"Barnett is flattened out on his stomach, and Abdelwahab smashes him in the back of the head with an elbow.",back of the head,TRUE,TRUE,Round 1,back of head strike,Abdelwahab
UFC321-aspinall-gane-25-10-2025,Ikram Aliskerov (185.5) vs. Jun Yong Park (185.5),aliskerov vs park,1,Jun Yong Park,"Aliskerov allows Park to turn so he can smack him upside the head on either side, and Park is warned for tugging on the chain links to get free.",tugging on the chain links,FALSE,FALSE,Round 3,fence grab,Park
UFC321-aspinall-gane-25-10-2025,Ikram Aliskerov (185.5) vs. Jun Yong Park (185.5),aliskerov vs park,2,Ikram Aliskerov,"Aliskerov controls Park by clinging to Park's left ankle with his right hand, and he is warned for grabbing the fence with his free hand.",grabbing the fence,FALSE,FALSE,Round 2,fence grab,Aliskerov
UFC321-aspinall-gane-25-10-2025,Ikram Aliskerov (185.5) vs. Jun Yong Park (185.5),aliskerov vs park,3,Ikram Aliskerov,"Aliskerov kicks the inner thigh, and his foot slides up and bangs into the cup.",bangs into the cup,FALSE,TRUE,Round 1,groin strike,Aliskerov
UFC321-aspinall-gane-25-10-2025,Ikram Aliskerov (185.5) vs. Jun Yong Park (185.5),aliskerov vs park,4,Ikram Aliskerov,"Aliskerov walks him down and knees him in the stomach, pushing off the face as Park feels he was poked in the eyes.",poked in the eyes,FALSE,FALSE,Round 1,eye poke,Aliskerov
UFC321-aspinall-gane-25-10-2025,Ikram Aliskerov (185.5) vs. Jun Yong Park (185.5),aliskerov vs park,5,Ikram Aliskerov,"Park wipes at his face and gets right back into the fray, and Aliskerov kicks him in the stomach as his heel scrapes down to bump into the groin cup.",scrapes down to bump into the groin cup,FALSE,FALSE,Round 2,groin strike,Aliskerov
UFC321-aspinall-gane-25-10-2025,Jailton Almeida (237) vs. Alexander Volkov (261.5),almeida vs volkov,1,Alexander Volkov,"Volkov slams the back of his elbow on the side of his foe's head, and Almeida turns away from it so the elbows start to smash in the back of the head.","elbow on the side of his foe's head, and Almeida turns away from it so the elbows start to smash in the back of the head",FALSE,FALSE,Round 1,back of head strike,Volkov
UFC321-aspinall-gane-25-10-2025,Jose Delgado (147: Missed Weight) vs. Nathaniel Wood (146),delgado vs wood,1,Jose Delgado,"Delgado fires off another low kick, and it too strikes Wood's cup for his second groin kick foul.","kick, and it too strikes Wood's cup",FALSE,TRUE,Round 2,groin strike,Delgado
UFC321-aspinall-gane-25-10-2025,Jose Delgado (147: Missed Weight) vs. Nathaniel Wood (146),delgado vs wood,2,Jose Delgado,"One of Delgado's kicks inadvertently bumps into the cup of his opponent as he goes for an inside thigh, and Herzog sees it and gives him time to recover.",kicks inadvertently bumps into the cup,FALSE,TRUE,Round 1,groin strike,Delgado
UFC321-aspinall-gane-25-10-2025,Tom Aspinall (255) vs. Ciryl Gane (247.5),aspinall vs gane,1,Ciryl Gane,"They crash together with punches, and Gane's fingers push off and jam into both of Aspinall's eyes at once in a Three Stooges-esque disaster.",fingers push off and jam into both of Aspinall's eye,FALSE,TRUE,Round 1,eye poke,Gane
UFC321-aspinall-gane-25-10-2025,Virna Jandiroba (115) vs. Mackenzie Dern (115),jandiroba vs dern,1,Mackenzie Dern,"Dern boots Jandiroba with an illegal upkick, and Goddard warns her not to kick a grounded fighter.",illegal upkick,FALSE,FALSE,Round 3,illegal upkick,Dern
UFC321-aspinall-gane-25-10-2025,Virna Jandiroba (115) vs. Mackenzie Dern (115),jandiroba vs dern,2,Mackenzie Dern,"Dern elbows on the side of her foe's head and lands one or two to the back of the head, drawing a brief warning.",elbows on the side of her foe's head and lands one or two to the back of the head,FALSE,FALSE,Round 2,back of head strike,Dern
UFC-tsarukyan-hooker-22-11-2025,Arman Tsarukyan (156) vs. Dan Hooker (155.5),tsarukyan vs hooker,1,Dan Hooker,"Hooker's long legs push off and eventually his toes pull on the fence to help him improve his positionâillegally, of courseâbut Tsarukyan is in full smother mode.",toes pull on the fence,FALSE,FALSE,Round 1,fence grab,Hooker
UFC-tsarukyan-hooker-22-11-2025,Asu Almabayev (125.5) vs. Alex Perez (126),almabayev vs perez,1,Asu Almabayev,"Almabayev elbows him off his back, and several of them bang into the back of Perez' head, drawing a warning.","elbows him off his back, and several of them bang into the back of Perez' head",FALSE,FALSE,Round 2,back of head strike,Almabayev
UFC-tsarukyan-hooker-22-11-2025,Asu Almabayev (125.5) vs. Alex Perez (126),almabayev vs perez,2,Alex Perez,"Movahedi warns him to not smack the Kazakh in the back of the head, and Almabayev spins Perez around but cannot put him down to the floor.",smack the Kazakh in the back of the head,FALSE,FALSE,Round 1,back of head strike,Perez
UFC-tsarukyan-hooker-22-11-2025,Asu Almabayev (125.5) vs. Alex Perez (126),almabayev vs perez,3,Alex Perez,"Perez elbows him in the back of the head a few times, and remains elbowing and not settling until the horn blares.",elbows him in the back of the head,FALSE,FALSE,Round 1,back of head strike,Perez
UFC-tsarukyan-hooker-22-11-2025,Bekzat Almakhan (136) vs. Aleksandre Topuria (135.5),almakhan vs topuria,1,Bekzat Almakhan,"Almakhan's strikes off his back include a few to the back of the head, and Topuria elbows his way into full mount.",strikes off his back include a few to the back of the head,FALSE,FALSE,Round 1,back of head strike,Almakhan
UFC-tsarukyan-hooker-22-11-2025,Bekzat Almakhan (136) vs. Aleksandre Topuria (135.5),almakhan vs topuria,2,Aleksandre Topuria,"He swats out a left hand that appears to swipe Almakhan in the eye, and he apologizes with the foul going uncalled.",swats out a left hand that appears to swipe Almakhan in the eye,FALSE,FALSE,Round 2,eye poke,Topuria
UFC-tsarukyan-hooker-22-11-2025,Bogdan Grad (145.5) vs. Luke Riley (145.5),grad vs riley,1,Luke Riley,"Riley grabs the fence to stay on his feet, and Grad pulls him away from it to ground him in the open cage away from the wall.",grabs the fence,FALSE,FALSE,Round 1,fence grab,Riley
UFC-tsarukyan-hooker-22-11-2025,Ian Garry (170) vs. Belal Muhammad (171),garry vs muhammad,1,Ian Garry,"Garry gets away with a slight eye scrape, and after a combination, he pushes off and jams his finger into Muhammad's right eye socket.",eye scrape,FALSE,TRUE,Round 1,eye poke,Garry
UFC-tsarukyan-hooker-22-11-2025,Ian Garry (170) vs. Belal Muhammad (171),garry vs muhammad,2,Ian Garry,"Garry pushes out with both hands, fingers outstretched, and he pokes Muhammad in the eye with at least his left.","fingers outstretched, and he pokes Muhammad in the eye",FALSE,TRUE,Round 2,eye poke,Garry
UFC-tsarukyan-hooker-22-11-2025,Nicolas Dalby (170.5) vs. Saygid Izagakhmaev (170),dalby vs izagakhmaev,1,Nicolas Dalby,"Dalby grabs the fence to pull himself up to his seat, and he works his way to his feet methodically without taking any noteworthy damage.",grabs the fence,FALSE,FALSE,Round 2,fence grab,Dalby
UFC-tsarukyan-hooker-22-11-2025,Nurullo Aliev (155) vs. Shaqueme Rock (156),aliev vs rock,1,Nurullo Aliev,"The two end up clinched, and Aliev's spammed knees to the thigh include one that smacks straight into the cup.",smacks straight into the cup,FALSE,FALSE,Round 3,groin strike,Aliev
